"","Flask","Timestamp","Email","DI Blank","Comments","ElapsedTime","OD","OD2","Temp","RPM","pH","Volume","Media","Treatment","Col","pch","InoculationDate","ExpName"
"1","Hmaris_1000mM_Control",2022-11-07 13:57:50,"ashepherd347@gmail.com",0,NA,0,-0.002,0.001,32,100,7.5,50,"CDM","1000mM_Mg2+_Control","black",21,"20221107","Hmari"
"2","Hmaris_1000mM_Control",2022-11-08 18:58:09,"ashepherd347@gmail.com",0,NA,29.0052777777778,0.007,0.007,32,100,7.5,50,"CDM","1000mM_Mg2+_Control","black",21,"20221107","Hmari"
"3","Hmaris_1000mM_Control",2022-11-09 14:49:07,"ashepherd347@gmail.com",0,NA,48.8547222222222,0.006,0.006,32,100,7.5,50,"CDM","1000mM_Mg2+_Control","black",21,"20221107","Hmari"
"4","Hmaris_1000mM_Control",2022-11-10 22:22:14,"ashepherd347@gmail.com",0,NA,80.4066666666667,0.006,0.006,32,100,7.5,50,"CDM","1000mM_Mg2+_Control","black",21,"20221107","Hmari"
"5","Hmaris_1000mM_Control",2022-11-11 13:54:01,"ashepherd347@gmail.com",0,"I think yellow color of high mag solution is making controls higher",95.9363888888889,0.009,0.009,32,100,7.5,50,"CDM","1000mM_Mg2+_Control","black",21,"20221107","Hmari"
"6","Hmaris_1000mM_Control",2022-11-12 11:46:57,"ashepherd347@gmail.com",0,NA,117.818611111111,0.009,0.009,32,100,7.5,50,"CDM","1000mM_Mg2+_Control","black",21,"20221107","Hmari"
"7","Hmaris_1000mM_Control",2022-11-13 14:58:21,"ashepherd347@gmail.com",0,NA,145.008611111111,0.011,0.011,32,100,7.5,50,"CDM","1000mM_Mg2+_Control","black",21,"20221107","Hmari"
"8","Hmaris_1000mM_Control",2022-11-14 18:32:17,"ashepherd347@gmail.com",0,NA,172.574166666667,0.013,0.013,32,100,7.5,50,"CDM","1000mM_Mg2+_Control","black",21,"20221107","Hmari"
"9","Hmaris_1000mM_Control",2022-11-15 07:10:06,"ashepherd347@gmail.com",0,NA,185.204444444444,0.014,0.014,32,100,7.5,50,"CDM","1000mM_Mg2+_Control","black",21,"20221107","Hmari"
"10","Hmaris_1000mM_Rep1",2022-11-07 13:57:50,"ashepherd347@gmail.com",0,NA,0,0.008,0.008,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"11","Hmaris_1000mM_Rep1",2022-11-08 18:58:09,"ashepherd347@gmail.com",0,NA,29.0052777777778,0.009,0.009,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"12","Hmaris_1000mM_Rep1",2022-11-09 14:49:07,"ashepherd347@gmail.com",0,NA,48.8547222222222,0.011,0.011,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"13","Hmaris_1000mM_Rep1",2022-11-10 22:22:14,"ashepherd347@gmail.com",0,NA,80.4066666666667,0.031,0.031,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"14","Hmaris_1000mM_Rep1",2022-11-11 13:54:01,"ashepherd347@gmail.com",0,"I think yellow color of high mag solution is making controls higher",95.9363888888889,0.039,0.039,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"15","Hmaris_1000mM_Rep1",2022-11-12 11:46:57,"ashepherd347@gmail.com",0,NA,117.818611111111,0.053,0.053,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"16","Hmaris_1000mM_Rep1",2022-11-13 14:58:21,"ashepherd347@gmail.com",0,NA,145.008611111111,0.072,0.072,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"17","Hmaris_1000mM_Rep1",2022-11-14 18:32:17,"ashepherd347@gmail.com",0,NA,172.574166666667,0.091,0.091,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"18","Hmaris_1000mM_Rep1",2022-11-15 07:10:06,"ashepherd347@gmail.com",0,NA,185.204444444444,0.096,0.096,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"19","Hmaris_1000mM_Rep2",2022-11-07 13:57:50,"ashepherd347@gmail.com",0,NA,0,-0.004,0.001,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"20","Hmaris_1000mM_Rep2",2022-11-08 18:58:09,"ashepherd347@gmail.com",0,NA,29.0052777777778,0.013,0.013,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"21","Hmaris_1000mM_Rep2",2022-11-09 14:49:07,"ashepherd347@gmail.com",0,NA,48.8547222222222,0.01,0.01,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"22","Hmaris_1000mM_Rep2",2022-11-10 22:22:14,"ashepherd347@gmail.com",0,NA,80.4066666666667,0.026,0.026,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"23","Hmaris_1000mM_Rep2",2022-11-11 13:54:01,"ashepherd347@gmail.com",0,"I think yellow color of high mag solution is making controls higher",95.9363888888889,0.038,0.038,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"24","Hmaris_1000mM_Rep2",2022-11-12 11:46:57,"ashepherd347@gmail.com",0,NA,117.818611111111,0.049,0.049,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"25","Hmaris_1000mM_Rep2",2022-11-13 14:58:21,"ashepherd347@gmail.com",0,NA,145.008611111111,0.067,0.067,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"26","Hmaris_1000mM_Rep2",2022-11-14 18:32:17,"ashepherd347@gmail.com",0,NA,172.574166666667,0.083,0.083,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"27","Hmaris_1000mM_Rep2",2022-11-15 07:10:06,"ashepherd347@gmail.com",0,NA,185.204444444444,0.085,0.085,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"28","Hmaris_1000mM_Rep3",2022-11-07 13:57:50,"ashepherd347@gmail.com",0,NA,0,-0.001,0.001,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"29","Hmaris_1000mM_Rep3",2022-11-08 18:58:09,"ashepherd347@gmail.com",0,NA,29.0052777777778,0.008,0.008,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"30","Hmaris_1000mM_Rep3",2022-11-09 14:49:07,"ashepherd347@gmail.com",0,NA,48.8547222222222,0.013,0.013,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
"31","Hmaris_1000mM_Rep3",2022-11-10 22:22:14,"ashepherd347@gmail.com",0,NA,80.4066666666667,0.032,0.032,32,100,7.5,50,"CDM","1000mM_Mg2+","black",16,"20221107","Hmari"
