"","Treatment","Timestamp","ODmean","ODsd","ODcount","ElapsedTime","OD2mean","OD2sd","ODse","OD2se","Temp","RPM","pH","Volume","Media","Col","pch","InoculationDate","ExpName"
"1","1000mM_Mg2+",2022-11-07 13:57:50,0.00333333333333333,0.00404145188432738,3,0,0.00333333333333333,0.00404145188432738,0.00233333333333333,0.00233333333333333,32,100,7.5,50,"CDM","black",16,"20221107","Hmari"
"2","1000mM_Mg2+",2022-11-08 18:58:09,0.01,0.00264575131106459,3,29.0052777777778,0.01,0.00264575131106459,0.00152752523165195,0.00152752523165195,32,100,7.5,50,"CDM","black",16,"20221107","Hmari"
"3","1000mM_Mg2+",2022-11-09 14:49:07,0.0113333333333333,0.00152752523165195,3,48.8547222222222,0.0113333333333333,0.00152752523165195,0.000881917103688197,0.000881917103688197,32,100,7.5,50,"CDM","black",16,"20221107","Hmari"
"4","1000mM_Mg2+",2022-11-10 22:22:14,0.0296666666666667,0.00321455025366432,3,80.4066666666667,0.0296666666666667,0.00321455025366432,0.00185592145427667,0.00185592145427667,32,100,7.5,50,"CDM","black",16,"20221107","Hmari"
"5","1000mM_Mg2+",2022-11-11 13:54:01,0.04,0.00264575131106459,3,95.9363888888889,0.04,0.00264575131106459,0.00152752523165195,0.00152752523165195,32,100,7.5,50,"CDM","black",16,"20221107","Hmari"
"6","1000mM_Mg2+",2022-11-12 11:46:57,0.0556666666666667,0.00832666399786453,3,117.818611111111,0.0556666666666667,0.00832666399786453,0.00480740170061865,0.00480740170061865,32,100,7.5,50,"CDM","black",16,"20221107","Hmari"
"7","1000mM_Mg2+",2022-11-13 14:58:21,0.0753333333333333,0.0104083299973307,3,145.008611111111,0.0753333333333333,0.0104083299973307,0.00600925212577331,0.00600925212577331,32,100,7.5,50,"CDM","black",16,"20221107","Hmari"
"8","1000mM_Mg2+",2022-11-14 18:32:17,0.0943333333333333,0.0133166562369588,3,172.574166666667,0.0943333333333333,0.0133166562369588,0.00768837506311386,0.00768837506311386,32,100,7.5,50,"CDM","black",16,"20221107","Hmari"
"9","1000mM_Mg2+",2022-11-15 07:10:06,0.0983333333333333,0.0146401275039985,3,185.204444444444,0.0983333333333333,0.0146401275039985,0.00845248155540398,0.00845248155540398,32,100,7.5,50,"CDM","black",16,"20221107","Hmari"
"10","1000mM_Mg2+_Control",2022-11-07 13:57:50,0.001,NA,1,0,0.001,NA,NA,NA,32,100,7.5,50,"CDM","black",21,"20221107","Hmari"
"11","1000mM_Mg2+_Control",2022-11-08 18:58:09,0.007,NA,1,29.0052777777778,0.007,NA,NA,NA,32,100,7.5,50,"CDM","black",21,"20221107","Hmari"
"12","1000mM_Mg2+_Control",2022-11-09 14:49:07,0.006,NA,1,48.8547222222222,0.006,NA,NA,NA,32,100,7.5,50,"CDM","black",21,"20221107","Hmari"
"13","1000mM_Mg2+_Control",2022-11-10 22:22:14,0.006,NA,1,80.4066666666667,0.006,NA,NA,NA,32,100,7.5,50,"CDM","black",21,"20221107","Hmari"
"14","1000mM_Mg2+_Control",2022-11-11 13:54:01,0.009,NA,1,95.9363888888889,0.009,NA,NA,NA,32,100,7.5,50,"CDM","black",21,"20221107","Hmari"
"15","1000mM_Mg2+_Control",2022-11-12 11:46:57,0.009,NA,1,117.818611111111,0.009,NA,NA,NA,32,100,7.5,50,"CDM","black",21,"20221107","Hmari"
"16","1000mM_Mg2+_Control",2022-11-13 14:58:21,0.011,NA,1,145.008611111111,0.011,NA,NA,NA,32,100,7.5,50,"CDM","black",21,"20221107","Hmari"
"17","1000mM_Mg2+_Control",2022-11-14 18:32:17,0.013,NA,1,172.574166666667,0.013,NA,NA,NA,32,100,7.5,50,"CDM","black",21,"20221107","Hmari"
"18","1000mM_Mg2+_Control",2022-11-15 07:10:06,0.014,NA,1,185.204444444444,0.014,NA,NA,NA,32,100,7.5,50,"CDM","black",21,"20221107","Hmari"
"19","250mM_Mg2+",2022-11-07 13:57:50,0.003,0.00346410161513775,3,0,0.003,0.00346410161513775,0.002,0.002,32,100,7.5,50,"CDM","brown1",16,"20221107","Hmari"
"20","250mM_Mg2+",2022-11-08 18:58:09,0.0146666666666667,0.00585946527708231,3,29.0052777777778,0.0146666666666667,0.00585946527708231,0.00338296385503074,0.00338296385503074,32,100,7.5,50,"CDM","brown1",16,"20221107","Hmari"
"21","250mM_Mg2+",2022-11-09 14:49:07,0.019,0.00264575131106459,3,48.8547222222222,0.019,0.00264575131106459,0.00152752523165195,0.00152752523165195,32,100,7.5,50,"CDM","brown1",16,"20221107","Hmari"
"22","250mM_Mg2+",2022-11-10 22:22:14,0.0496666666666667,0.00513160143944688,3,80.4066666666667,0.0496666666666667,0.00513160143944688,0.00296273147243853,0.00296273147243853,32,100,7.5,50,"CDM","brown1",16,"20221107","Hmari"
"23","250mM_Mg2+",2022-11-11 13:54:01,0.0756666666666667,0.00321455025366432,3,95.9363888888889,0.0756666666666667,0.00321455025366432,0.00185592145427668,0.00185592145427668,32,100,7.5,50,"CDM","brown1",16,"20221107","Hmari"
